Organism Scientific Name	Organism Common Name	Organism Qualifier	Taxonomy id	Assembly Name	Assembly Accession	Source	Annotation	Level	Contig N50	Size	Submission Date	Gene Count	BioProject	BioSample
Pyrococcus abyssi GE5		strain: Orsay	272844	ASM19593v2	GCA_000195935.2	GenBank	Annotation submitted by Genoscope	Complete Genome	1765118	1768562	2003-05-06	1830	PRJNA179	SAMEA3283067
Methanohalobium evestigatum Z-7303		strain: Z-7303	644295	ASM19665v1	GCA_000196655.1	GenBank	Annotation submitted by US DOE Joint Genome Institute	Complete Genome	2242317	2406232	2010-06-15	2437	PRJNA37945	SAMN00015125
Halalkalicoccus jeotgali B3		strain: B3	795797	ASM19689v1	GCA_000196895.1	GenBank	Annotation submitted by Kyung Hee University	Complete Genome	2809118	3698650	2010-06-23	3922	PRJNA49517	SAMN02603490
Methanothrix soehngenii GP6		strain: GP6	990316	ASM20441v1	GCA_000204415.1	GenBank	Annotation submitted by University of Wisconsin-Parkside	Complete Genome	3008626	3026645	2011-04-15	2927	PRJNA63185	SAMN02604263
Methanobacterium paludis		strain: SWAN1	868131	ASM21472v1	GCA_000214725.1	GenBank	Annotation submitted by US DOE Joint Genome Institute	Complete Genome	2546541	2546541	2011-05-24	2500	PRJNA53561	SAMN00713630
Halopiger xanaduensis SH-6		strain: SH-6	797210	ASM21771v1	GCA_000217715.1	GenBank	Annotation submitted by US DOE Joint Genome Institute	Complete Genome	3668009	4355268	2011-06-09	4370	PRJNA56049	SAMN02232028
Methanosalsum zhilinae DSM 4017		strain: DSM 4017	679901	ASM21799v1	GCA_000217995.1	GenBank	Annotation submitted by US DOE Joint Genome Institute (JGI-PGF)	Complete Genome	2138444	2138444	2011-06-13	2086	PRJNA40771	SAMN02232039
Pyrolobus fumarii 1A		strain: 1A	694429	ASM22339v1	GCA_000223395.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	1843267	1843267	2011-08-12	2038	PRJNA48579	SAMN02232047
Haloarcula hispanica ATCC 33960		strain: CGMCC 1.2049	634497	ASM22390v1	GCA_000223905.1	GenBank	Annotation submitted by  Institute of Microbiology, Chinese Academy of Sciences	Complete Genome	2995271	3890005	2011-08-17	3924	PRJNA68523	SAMN02602960
Halobiforma lacisalsi AJ5		strain: AJ5	358396	ASM22697v3	GCA_000226975.3	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4161587	4381543	2017-01-23	4247	PRJNA16192	SAMN02470038
Natronobacterium gregoryi SP2		strain: SP2	797304	ASM23071v3	GCA_000230715.3	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	3788356	3788356	2012-12-10	3835	PRJNA60135	SAMN02232042
Natrinema pellirubrum DSM 15624		strain: DSM 15624	797303	ASM23073v3	GCA_000230735.3	GenBank	Annotation submitted by JGI	Complete Genome	3790479	4354100	2012-12-27	4461	PRJNA52951	SAMN02261373
Desulfurococcus amylolyticus DSM 16532		strain: DSM 16532	768672	ASM23101v3	GCA_000231015.3	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	1384116	1384116	2012-06-07	1522	PRJNA49401	SAMN02232017
Thermococcus litoralis DSM 5473		strain: DSM 5473	523849	ASM24698v3	GCA_000246985.3	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2215172	2215172	2013-08-13	2575	PRJNA81925	SAMN02603679
Methanocella conradii HZ254		strain: HZ254	1041930	ASM25110v1	GCA_000251105.1	GenBank	Annotation submitted by China Agricultural University	Complete Genome	2378438	2378438	2012-03-07	2573	PRJNA73221	SAMN02603117
Thermoproteus tenax Kra 1		strain: Kra 1	768679	ASM25305v1	GCA_000253055.1	GenBank	Annotation submitted by University of Duisburg-Essen, Faculty of Chemistry, Molecular Enzyme Technology and Biochemistry	Complete Genome	1841542	1841542	2011-10-06	2101	PRJEA49419	SAMEA2272453
Fervidicoccus fontis Kam940		strain: Kam940	1163730	ASM25842v1	GCA_000258425.1	GenBank	Annotation submitted by Centre Bioengineering RAS	Complete Genome	1319206	1319206	2012-04-10	1439	PRJNA91117	SAMN02603095
Candidatus Methanomethylophilus alvi Mx1201		strain: Mx1201	1236689	ASM30025v2	GCA_000300255.2	GenBank	Annotation submitted by Université d'Auvergne	Complete Genome	1666795	1666795	2013-04-09	1707	PRJNA175948	SAMN03081445
Methanoculleus bourgensis MS2		strain: MS2T	1201294	Mb_MS2	GCA_000304355.2	GenBank	Annotation submitted by irena.maus	Complete Genome	2789774	2789774	2014-02-04	2628	PRJEB167	SAMEA2272323
Methanoregula formicica SMSP		strain: SMSP	593750	ASM32748v1	GCA_000327485.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	2820858	2820858	2012-12-21	2924	PRJNA63567	SAMN02232038
Halovivax ruber XH-70		strain: XH-70	797302	ASM32852v1	GCA_000328525.1	GenBank	Annotation submitted by DOE Joint Genome Institute	Complete Genome	3223876	3223876	2012-12-27	3187	PRJNA59897	SAMN02232030
Methanomethylovorans hollandica DSM 15978		strain: DSM 15978	867904	ASM32866v1	GCA_000328665.1	GenBank	Annotation submitted by JGI	Complete Genome	2428904	2714013	2012-12-28	2726	PRJNA50749	SAMN02261367
Natronococcus occultus SP4		strain: SP4	694430	ASM32868v1	GCA_000328685.1	GenBank	Annotation submitted by JGI	Complete Genome	4013216	4314118	2012-12-28	4371	PRJNA46985	SAMN02261263
Halorhabdus tiamatea SARL4B		strain: type strain: SARL4B	1033806	HATI1	GCA_000470655.1	GenBank	Annotation submitted by MPI BREMEN	Complete Genome	2815791	3146160	2013-08-01	3073	PRJEB1233	SAMEA2271992
Thermococcus paralvinellae		strain: ES1	582419	ASM51744v1	GCA_000517445.1	GenBank	Annotation submitted by Kyung Hee University	Complete Genome	1957742	1957742	2014-01-10	2090	PRJNA230233	SAMN03081513
Halostagnicola larsenii XH-48		strain: XH-48	797299	ASM51762v1	GCA_000517625.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2789326	4131176	2014-01-13	4246	PRJNA71415	SAMN00117518
Aeropyrum camini SY1 = JCM 12091		strain: SY1	1198449	ASM59103v1	GCA_000591035.1	GenBank	Annotation submitted by Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University	Complete Genome	1595994	1595994	2013-09-27	1695	PRJDB107	SAMD00061006
Natronomonas moolapensis 8.8.11		strain: 8.8.11	268739	ASM59105v1	GCA_000591055.1	GenBank	Annotation submitted by Max-Planck-Institute of Biochemistry	Complete Genome	2912573	2912573	2013-02-21	3226	PRJEA50649	SAMEA3138954
Nitrososphaera viennensis EN76		strain: EN76	926571	ASM69878v1	GCA_000698785.1	GenBank	Annotation submitted by University of Vienna	Complete Genome	2527938	2527938	2014-06-06	3187	PRJEA60103	SAMN02721150
Nitrosopumilus piranensis		strain: D3C	1582439	ASM87577v1	GCA_000875775.1	GenBank	Annotation submitted by University of Vienna	Complete Genome	1713078	1713078	2015-02-13	2216	PRJNA269924	SAMN03257648
Methanosarcina thermophila TM-1		strain: TM-1	523844	ASM96988v1	GCA_000969885.1	GenBank	Annotation submitted by University of Illinois at Urbana-Champaign	Complete Genome	3127379	3127379	2015-04-07	2627	PRJNA230961	SAMN03074597
Methanosarcina siciliae T4/M		strain: T4/M	1434120	ASM97008v1	GCA_000970085.1	GenBank	Annotation submitted by University of Illinois at Urbana-Champaign	Complete Genome	5017558	5017558	2015-04-07	4036	PRJNA230953	SAMN03074589
Methanosarcina horonobensis HB-1 = JCM 15518		strain: HB-1	1434110	ASM97028v1	GCA_000970285.1	GenBank	Annotation submitted by University of Illinois at Urbana-Champaign	Complete Genome	5018607	5018607	2015-04-07	4161	PRJNA230942	SAMN03074578
Pyrodictium delaneyi		strain: Su06	1273541	ASM141261v1	GCA_001412615.1	GenBank	Annotation submitted by Kyung Hee University	Complete Genome	2023836	2023836	2015-10-26	2093	PRJNA268702	SAMN03223811
Halodesulfurarchaeum formicicum		strain: HSR6	1873524	ASM188695v1	GCA_001886955.1	GenBank	Annotation submitted by Immanuel Kant Baltic Federal University	Complete Genome	2085946	2085946	2016-11-28	2148	PRJNA328078	SAMN05363636
Methanohalophilus halophilus		strain: Z-7982	2177	ASM188940v1	GCA_001889405.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2022959	2022959	2016-12-06	2050	PRJNA342410	SAMN05756399
Natronorubrum daqingense		strain: JX313	588898	ASM197170v1	GCA_001971705.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3397437	3835796	2017-01-26	3751	PRJNA329170	SAMN05417698
Ferroplasma acidiphilum		strain: Y	74969	ASM207835v1	GCA_002078355.1	GenBank	Annotation submitted by Max Planck Institute for Chemical Ecology	Complete Genome	1826943	1826943	2017-04-04	1861	PRJNA316151	SAMN03952737
Halohasta litchfieldiae		strain: tADL	1073996	ASM278821v1	GCA_002788215.1	GenBank	Annotation submitted by JGI-PSF	Complete Genome	3332022	3332022	2017-11-20	3520	PRJNA53493	SAMN00117514
Methanococcus maripaludis		strain: DSM 2067	39152	ASM294532v1	GCA_002945325.1	GenBank	Annotation submitted by Goettingen Genomics Laboratory	Complete Genome	1714918	1714918	2018-02-12	1861	PRJNA432904	SAMN08466362
Acidianus brierleyi		strain: DSM 1651	41673	ASM320183v2	GCA_003201835.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2947244	2947244	2020-03-10	3148	PRJNA463410	SAMN09071529
Natrarchaeobaculum sulfurireducens		strain: AArc1	2044521	ASM343082v1	GCA_003430825.1	GenBank	Annotation submitted by C.N.R. - Institute for Coastal Marine Environment (IAMC)	Complete Genome	3521804	3789323	2018-08-28	3768	PRJNA413731	SAMN07764453
Haloplanus aerogenes		strain: JCM 16430	660522	ASM385683v1	GCA_003856835.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3461954	3503092	2018-12-03	3600	PRJNA481613	SAMN09684815
Halobacterium salinarum		strain: 91-R6	2242	ASM479960v1	GCA_004799605.1	GenBank	Annotation submitted by Max-Planck-Institute of Biochemistry	Complete Genome	2178608	2429680	2019-04-18	2677	PRJNA530823	SAMN11158145
Natronorubrum bangense		strain: JCM 10635	61858	ASM479964v1	GCA_004799645.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3079186	4382412	2019-04-18	4312	PRJNA482706	SAMN09711300
Haloferax mediterranei ATCC 33500		strain: ATCC 33500	523841	ASM540632v1	GCA_005406325.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2948887	3907473	2019-05-16	3895	PRJNA412908	SAMN11356524
Pyrococcus furiosus DSM 3638		strain: DSM 3638	186497	ASM824508v1	GCA_008245085.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1889914	1889914	2019-09-03	2103	PRJNA382684	SAMN06711904
Natrinema halophilum		strain: YPL8	1699371	ASM1340281v2	GCA_013402815.2	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	4359796	4842193	2021-10-19	4675	PRJNA643691	SAMN15423737
Natrinema longum		strain: ABH32	370324	ASM1735209v1	GCA_017352095.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3588874	3588874	2021-03-14	3559	PRJNA706550	SAMN18137902
Haloarcula sinaiiensis ATCC 33800		strain: ATCC 33800	662476	ASM1820001v1	GCA_018200015.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3093724	4537128	2021-04-29	4582	PRJNA412908	SAMN18811338
Saccharolobus shibatae B12		strain: B12	523848	ASM1917534v1	GCA_019175345.1	GenBank	Annotation submitted by Skolkovo Institute of Science and Technology	Complete Genome	2879035	2916875	2021-07-08	3268	PRJNA716250	SAMN18432893
Methanoculleus chikugoensis		strain: MG62	118126	ASM1966996v1	GCA_019669965.1	GenBank	Annotation submitted by Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University	Complete Genome	2622259	2622259	2021-06-02	2624	PRJDB8303	SAMD00171896
Halobacterium noricense		strain: JCM 15102	223182	ASM2123343v1	GCA_021233435.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2893719	3316796	2021-12-20	3540	PRJNA787377	SAMN23798384
Methanothermobacter tenebrarum		strain: RMAS	680118	ASM2316746v1	GCA_023167465.1	GenBank	Annotation submitted by Faculty of Applied Biological Sciences, Gifu University	Complete Genome	1472762	1495190	2022-04-07	1676	PRJDB13305	SAMD00451045
Natronomonas gomsonensis		strain: KCTC 4088	1046043	ASM2430082v1	GCA_024300825.1	GenBank		Complete Genome	3544915	3652280	2022-07-18		PRJNA857807	SAMN29636705
Vulcanisaeta souniana JCM 11219		strain: JCM 11219	1293586	ASM2600077v1	GCA_026000775.1	GenBank	Annotation submitted by RIKEN-BRC, JCM	Complete Genome	2432148	2432148	2022-10-08	2712	PRJDB14343	SAMD00535535
Methanothermobacter thermautotrophicus		strain: Delta H	145262	ASM2755490v1	GCA_027554905.1	GenBank	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1751429	1751429	2023-01-03	1844	PRJNA674001	SAMN16604535
Actinarchaeum halophilum		strain: YIM 93972	2814576	ASM2756314v1	GCA_027563145.1	GenBank		Complete Genome	2676592	3748090	2023-01-03		PRJNA702923	SAMN17983567
Pyrodictium abyssi		strain: AV2	54256	ASM3632339v1	GCA_036323395.1	GenBank	Annotation submitted by Kyoto University	Complete Genome	2224219	2224219	2023-09-14	2501	PRJDB16515	SAMD00639620
Methanopyrus kandleri AV19		strain: AV19	190192	ASM718v1	GCF_000007185.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1694969	1694969	2002-04-03	1824	PRJNA294	SAMN02603235
Pyrobaculum aerophilum str. IM2		strain: IM2	178306	ASM722v1	GCF_000007225.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2222430	2222430	2002-01-24	2637	PRJNA172	SAMN02604075
Methanosarcina acetivorans C2A		strain: C2A	188937	ASM734v1	GCF_000007345.1	RefSeq	GCF_000007345.1-RS_2024_05_15	Complete Genome	5751492	5751492	2002-04-03	4915	PRJNA290	SAMN03081414
Picrophilus oshimae DSM 9789		strain: DSM 9790	1122961	ASM826v1	GCF_000008265.1	RefSeq	GCF_000008265.1-RS_2024_04_22	Complete Genome	1545895	1545895	2004-06-08	1632	PRJNA10641	SAMN02603345
Thermococcus kodakarensis KOD1		strain: KOD1	69014	ASM996v1	GCF_000009965.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2088737	2088737	2005-01-05	2359	PRJNA13213	SAMD00061071
Methanocella paludicola SANAE		strain: SANAE	304371	ASM1100v1	GCF_000011005.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2957635	2957635	2009-12-25	3105	PRJDA20361	SAMD00060931
Haloarcula marismortui ATCC 43049		strain: ATCC 43049	272569	ASM1108v1	GCF_000011085.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	3131724	4274642	2004-11-02	4403	PRJNA105	SAMN02603385
Pyrococcus horikoshii OT3		strain: OT3	70601	ASM1110v1	GCF_000011105.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1738505	1738505	2004-05-11	1940	PRJNA207	SAMD00061090
Aeropyrum pernix K1		strain: K1	272557	ASM1112v1	GCF_000011125.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	1669696	1669696	2006-10-11	1759	PRJNA211	SAMD00061092
Sulfurisphaera tokodaii str. 7		strain: 7	273063	ASM1120v1	GCF_000011205.1	RefSeq	GCF_000011205.1-RS_2024_03_28	Complete Genome	2694756	2694756	2004-05-11	3015	PRJNA246	SAMD00061096
Methanospirillum hungatei JF-1		strain: JF-1	323259	ASM1344v1	GCF_000013445.1	RefSeq	GCF_000013445.1-RS_2024_03_28	Complete Genome	3544738	3544738	2006-02-17	3416	PRJNA13015	SAMN02598287
Methanococcoides burtonii DSM 6242		strain: DSM 6242	259564	ASM1372v1	GCF_000013725.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2575032	2575032	2006-04-10	2627	PRJNA9634	SAMN02598545
Methanoculleus marisnigri JR1		strain: JR1	368407	ASM1582v1	GCF_000015825.1	RefSeq	GCF_000015825.1-RS_2024_05_01	Complete Genome	2478101	2478101	2007-02-16	2516	PRJNA16330	SAMN02598365
Pyrobaculum arsenaticum DSM 13514		strain: DSM 13514	340102	ASM1638v1	GCF_000016385.1	RefSeq	GCF_000016385.1-RS_2024_04_02	Complete Genome	2121076	2121076	2007-04-16	2524	PRJNA15582	SAMN02598330
Methanobrevibacter smithii ATCC 35061		strain: ATCC 35061; PS; DSMZ 861	420247	ASM1652v1	GCF_000016525.1	RefSeq	GCF_000016525.1-RS_2024_03_28	Complete Genome	1853160	1853160	2007-06-04	1810	PRJNA18653	SAMN02604313
Methanoregula boonei 6A8		strain: 6A8	456442	ASM1762v1	GCF_000017625.1	RefSeq	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	Complete Genome	2542943	2542943	2007-07-26	2550	PRJNA18505	SAMN02598409
Ignicoccus hospitalis KIN4/I		strain: KIN4/I	453591	ASM1794v1	GCF_000017945.1	RefSeq	GCF_000017945.1-RS_2024_03_28	Complete Genome	1297538	1297538	2007-08-29	1531	PRJNA13914	SAMN02598324
Thermococcus onnurineus NA1		strain: NA1	523850	ASM1836v1	GCF_000018365.1	RefSeq	GCF_000018365.1-RS_2024_03_27	Complete Genome	1847607	1847607	2008-11-06	2055	PRJNA20773	SAMN02603476
Nitrosopumilus maritimus SCM1		strain: SCM1	436308	ASM1846v1	GCF_000018465.1	RefSeq	GCF_000018465.1-RS_2024_03_28	Complete Genome	1645259	1645259	2007-11-15	1973	PRJNA19265	SAMN00000032
